Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total,Temporada
Athletico Paranaense,67,"21,9",9,"1,06 mi. €","70,93 mi. €",2022
São Paulo FC,48,"23,0",10,"1,41 mi. €","67,88 mi. €",2022
Santos FC,52,"22,6",9,"1,00 mi. €","52,18 mi. €",2022
RB Bragantino,47,"21,4",6,"1,05 mi. €","49,28 mi. €",2022
Fluminense FC,46,"25,3",5,897 mil €,"41,28 mi. €",2022
Fortaleza EC,43,"25,7",7,759 mil €,"32,65 mi. €",2022
Avaí FC,64,"25,2",3,505 mil €,"32,30 mi. €",2022
Ceará SC,52,"24,5",2,532 mil €,"27,65 mi. €",2022
Cuiabá EC,63,"22,8",3,425 mil €,"26,75 mi. €",2022
Coritiba FC,54,"23,6",8,475 mil €,"25,63 mi. €",2022
América Mineiro,56,"24,4",7,439 mil €,"24,58 mi. €",2022
EC Juventude,55,"24,2",4,403 mil €,"22,18 mi. €",2022
Goiás EC,70,"22,2",0,303 mil €,"21,20 mi. €",2022
Atlético Goianiense,52,"22,9",3,319 mil €,"16,58 mi. €",2022
CR Flamengo,58,"22,4",5,"3,33 mi. €","193,10 mi. €",2023
Atlético Mineiro,40,"25,7",7,"3,46 mi. €","138,40 mi. €",2023
Botafogo FR,64,"24,1",14,"1,98 mi. €","126,43 mi. €",2023
SE Palmeiras,42,"23,0",7,"2,87 mi. €","120,50 mi. €",2023
São Paulo FC,50,"23,5",11,"2,24 mi. €","112,18 mi. €",2023
Grêmio FBPA,62,"23,5",10,"1,61 mi. €","99,98 mi. €",2023
SC Corinthians,48,"23,2",8,"2,08 mi. €","99,95 mi. €",2023
Santos FC,56,"24,2",11,"1,68 mi. €","94,20 mi. €",2023
Fluminense FC,59,"23,5",7,"1,32 mi. €","77,70 mi. €",2023
SC Internacional,41,"25,4",10,"1,88 mi. €","77,15 mi. €",2023
RB Bragantino,49,"21,4",7,"1,55 mi. €","75,85 mi. €",2023
CR Vasco da Gama,70,"22,7",10,"1,04 mi. €","72,85 mi. €",2023
EC Bahia,72,"21,4",5,979 mil €,"70,50 mi. €",2023
Cruzeiro EC,51,"23,5",1,"1,23 mi. €","62,75 mi. €",2023
Coritiba FC,61,"24,6",8,956 mil €,"58,33 mi. €",2023
Athletico Paranaense,53,"22,5",8,"1,09 mi. €","57,73 mi. €",2023
Fortaleza EC,44,"26,0",8,"1,03 mi. €","45,33 mi. €",2023
América Mineiro,54,"25,1",8,633 mil €,"34,18 mi. €",2023
Goiás EC,64,"23,9",2,435 mil €,"27,83 mi. €",2023
Cuiabá EC,46,"24,2",3,465 mil €,"21,38 mi. €",2023
CR Flamengo,69,"21,5",10,"3,10 mi. €","214,15 mi. €",2024
SE Palmeiras,43,"23,2",7,"3,56 mi. €","153,10 mi. €",2024
SC Corinthians,57,"23,2",11,"2,55 mi. €","145,50 mi. €",2024
Botafogo FR,59,"24,2",12,"2,23 mi. €","131,43 mi. €",2024
Atlético Mineiro,44,"25,1",10,"2,99 mi. €","131,35 mi. €",2024
SC Internacional,51,"25,1",12,"2,42 mi. €","123,23 mi. €",2024
São Paulo FC,49,"24,1",13,"2,32 mi. €","113,75 mi. €",2024
CR Vasco da Gama,64,"23,2",13,"1,67 mi. €","106,95 mi. €",2024
Cruzeiro EC,51,"23,6",8,"1,99 mi. €","101,68 mi. €",2024
Fluminense FC,67,"24,7",9,"1,48 mi. €","98,95 mi. €",2024
Grêmio FBPA,60,"23,7",14,"1,45 mi. €","87,00 mi. €",2024
EC Bahia,63,"22,3",7,"1,22 mi. €","76,95 mi. €",2024
RB Bragantino,61,"21,0",9,"1,22 mi. €","74,25 mi. €",2024
Athletico Paranaense,54,"22,4",9,"1,20 mi. €","64,60 mi. €",2024
Fortaleza EC,43,"26,3",10,"1,05 mi. €","45,05 mi. €",2024
Atlético Goianiense,55,"24,1",11,593 mil €,"32,60 mi. €",2024
Criciúma EC,48,"25,0",7,646 mil €,"31,00 mi. €",2024
EC Vitória,60,"25,2",3,517 mil €,"31,00 mi. €",2024
Cuiabá EC,45,"23,1",2,522 mil €,"23,48 mi. €",2024
EC Juventude,53,"24,2",2,408 mil €,"21,60 mi. €",2024
SE Palmeiras,31,"25,9",8,"7,70 mi. €","238,75 mi. €",2025
CR Flamengo,31,"27,0",7,"7,07 mi. €","219,15 mi. €",2025
Botafogo FR,34,"25,9",6,"4,00 mi. €","135,95 mi. €",2025
SC Corinthians,34,"26,2",10,"3,63 mi. €","123,25 mi. €",2025
SC Internacional,42,"25,3",9,"2,54 mi. €","106,65 mi. €",2025
Santos FC,33,"26,9",7,"2,90 mi. €","95,60 mi. €",2025
Cruzeiro EC,29,"27,9",6,"3,28 mi. €","95,05 mi. €",2025
Atlético Mineiro,28,"26,9",7,"3,35 mi. €","93,70 mi. €",2025
Grêmio FBPA,33,"26,4",11,"2,82 mi. €","93,00 mi. €",2025
EC Bahia,29,"27,6",5,"3,17 mi. €","92,00 mi. €",2025
CR Vasco da Gama,34,"27,9",11,"2,57 mi. €","87,50 mi. €",2025
São Paulo FC,35,"26,8",7,"2,28 mi. €","79,85 mi. €",2025
Fluminense FC,35,"28,2",9,"2,10 mi. €","73,60 mi. €",2025
RB Bragantino,30,"25,1",7,"2,34 mi. €","70,10 mi. €",2025
Fortaleza EC,30,"30,0",10,"1,60 mi. €","47,85 mi. €",2025
EC Vitória,38,"27,4",1,"1,05 mi. €","39,95 mi. €",2025
Sport Recife,32,"28,3",8,"1,15 mi. €","36,70 mi. €",2025
Ceará SC,36,"28,6",5,833 mil €,"30,00 mi. €",2025
EC Juventude,39,"27,8",4,470 mil €,"18,33 mi. €",2025
Mirassol FC,35,"29,2",1,521 mil €,"18,23 mi. €",2025
